timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,attack_type
1743660662.6614428,192.168.56.158,192.168.1.1,TCP,20917,80,1267,TCP-FIN Flood
1743660662.6614466,192.168.186.171,192.168.1.1,TCP,32821,80,753,TCP-RST Flood
1743660662.6614504,192.168.26.52,192.168.1.1,UDP,38558,53,1168,UDP Flood
1743660662.6614559,192.168.50.194,192.168.1.1,UDP,40329,53,1265,UDP Flood
1743660662.6614618,192.168.19.20,192.168.1.1,TCP,14641,80,81,TCP-ACK Flood
1743660662.6614685,192.168.193.5,192.168.1.1,TCP,44448,80,483,TCP-ACK Flood
1743660662.6614745,192.168.216.226,192.168.1.1,TCP,38152,80,117,TCP-RST Flood
1743660662.6614807,192.168.156.210,192.168.1.1,TCP,51541,80,1267,TCP-SYN Flood
1743660662.6614947,192.168.63.145,192.168.1.1,TCP,51404,80,798,TCP-FIN Flood
1743660662.661498,192.168.38.150,192.168.1.1,UDP,12606,53,173,UDP Flood
1743660662.6615016,192.168.191.178,192.168.1.1,UDP,41617,53,904,UDP Flood
1743660662.6615057,192.168.115.62,192.168.1.1,TCP,9131,80,806,TCP-FIN Flood
1743660662.661509,192.168.150.63,192.168.1.1,UDP,22762,53,283,UDP Flood
1743660662.6615124,192.168.152.95,192.168.1.1,UDP,6528,53,955,UDP Flood
1743660662.661516,192.168.102.233,192.168.1.1,UDP,48048,53,1108,UDP Flood
1743660662.6615198,192.168.18.164,192.168.1.1,TCP,32094,80,742,TCP-FIN Flood
1743660662.6615229,192.168.136.43,192.168.1.1,UDP,40218,53,563,UDP Flood
1743660662.6615264,192.168.113.231,192.168.1.1,UDP,49401,53,417,UDP Flood
1743660662.6615303,192.168.158.167,192.168.1.1,TCP,52911,80,1308,TCP-FIN Flood
1743660662.6615336,192.168.106.249,192.168.1.1,UDP,51792,53,1094,UDP Flood
1743660662.6615381,192.168.115.164,192.168.1.1,UDP,48042,53,564,UDP Flood
1743660662.6615427,192.168.225.9,192.168.1.1,TCP,41793,80,827,TCP-ACK Flood
1743660662.6615465,192.168.36.128,192.168.1.1,TCP,4396,80,858,TCP-SYN Flood
1743660662.6615503,192.168.17.73,192.168.1.1,TCP,45527,80,1108,TCP-ACK Flood
1743660662.6615539,192.168.28.42,192.168.1.1,TCP,53129,80,1167,TCP-SYN Flood
1743660662.6615577,192.168.25.240,192.168.1.1,TCP,8462,80,601,TCP-SYN Flood
1743660662.6615644,192.168.31.38,192.168.1.1,UDP,8974,53,460,UDP Flood
1743660662.6615677,192.168.252.95,192.168.1.1,UDP,56088,53,217,UDP Flood
1743660662.6615725,192.168.135.117,192.168.1.1,TCP,62086,80,740,TCP-SYN Flood
1743660662.6615753,192.168.174.55,192.168.1.1,UDP,59720,53,729,UDP Flood
1743660662.6615818,192.168.46.188,192.168.1.1,UDP,33029,53,212,UDP Flood
1743660662.6615856,192.168.229.65,192.168.1.1,TCP,35569,80,1296,TCP-SYN Flood
1743660662.661589,192.168.126.50,192.168.1.1,UDP,47943,53,760,UDP Flood
1743660662.6615927,192.168.140.106,192.168.1.1,TCP,41318,80,126,TCP-SYN Flood
1743660662.6615973,192.168.204.7,192.168.1.1,TCP,1347,80,1011,TCP-FIN Flood
1743660662.6616008,192.168.124.145,192.168.1.1,TCP,50961,80,161,TCP-ACK Flood
1743660662.6616044,192.168.106.219,192.168.1.1,TCP,29771,80,922,TCP-ACK Flood
1743660662.661608,192.168.52.129,192.168.1.1,TCP,27956,80,172,TCP-RST Flood
1743660662.6616113,192.168.247.27,192.168.1.1,UDP,30358,53,149,UDP Flood
1743660662.6616144,192.168.106.160,192.168.1.1,UDP,20719,53,755,UDP Flood
1743660662.6616178,192.168.106.126,192.168.1.1,UDP,45929,53,1350,UDP Flood
1743660662.6616206,192.168.153.134,192.168.1.1,UDP,33383,53,308,UDP Flood
1743660662.6616247,192.168.220.90,192.168.1.1,TCP,31896,80,757,TCP-FIN Flood
1743660662.6616285,192.168.177.10,192.168.1.1,TCP,20143,80,1425,TCP-SYN Flood
1743660662.6616316,192.168.252.5,192.168.1.1,UDP,41134,53,1209,UDP Flood
1743660662.6616378,192.168.92.78,192.168.1.1,UDP,27286,53,825,UDP Flood
1743660662.6616418,192.168.243.129,192.168.1.1,TCP,32986,80,570,TCP-SYN Flood
1743660662.661646,192.168.164.87,192.168.1.1,TCP,16703,80,220,TCP-ACK Flood
1743660662.6616492,192.168.7.128,192.168.1.1,UDP,23870,53,1171,UDP Flood
1743660662.661653,192.168.205.12,192.168.1.1,UDP,36382,53,1230,UDP Flood
1743660662.6616561,192.168.136.11,192.168.1.1,UDP,22868,53,181,UDP Flood
1743660662.6616597,192.168.130.183,192.168.1.1,TCP,45119,80,371,TCP-SYN Flood
1743660662.661663,192.168.83.44,192.168.1.1,UDP,2876,53,1246,UDP Flood
1743660662.6616669,192.168.232.212,192.168.1.1,TCP,55159,80,734,TCP-RST Flood
1743660662.6616702,192.168.64.194,192.168.1.1,UDP,18904,53,1468,UDP Flood
1743660662.6616733,192.168.211.208,192.168.1.1,UDP,46858,53,135,UDP Flood
1743660662.6616802,192.168.142.141,192.168.1.1,TCP,36566,80,404,TCP-RST Flood
1743660662.6616838,192.168.214.33,192.168.1.1,TCP,61257,80,465,TCP-FIN Flood
1743660662.6616898,192.168.230.32,192.168.1.1,TCP,9682,80,773,TCP-FIN Flood
1743660662.6616976,192.168.26.8,192.168.1.1,TCP,52678,80,1076,TCP-ACK Flood
1743660662.6617033,192.168.78.69,192.168.1.1,TCP,24026,80,387,TCP-RST Flood
1743660662.6617086,192.168.211.155,192.168.1.1,UDP,18365,53,496,UDP Flood
1743660662.6617143,192.168.13.97,192.168.1.1,TCP,21612,80,946,TCP-FIN Flood
1743660662.6617253,192.168.244.105,192.168.1.1,UDP,4656,53,1318,UDP Flood
1743660662.6617298,192.168.128.54,192.168.1.1,UDP,44866,53,1329,UDP Flood
1743660662.6617336,192.168.139.187,192.168.1.1,TCP,56800,80,222,TCP-SYN Flood
1743660662.6617367,192.168.169.73,192.168.1.1,UDP,55966,53,1402,UDP Flood
1743660662.66174,192.168.192.86,192.168.1.1,UDP,58362,53,64,UDP Flood
1743660662.6617436,192.168.171.130,192.168.1.1,UDP,32651,53,415,UDP Flood
1743660662.6617484,192.168.242.253,192.168.1.1,TCP,36468,80,60,TCP-RST Flood
1743660662.6617517,192.168.150.245,192.168.1.1,UDP,64396,53,402,UDP Flood
1743660662.661755,192.168.3.131,192.168.1.1,UDP,27325,53,750,UDP Flood
1743660662.6617603,192.168.159.86,192.168.1.1,UDP,43890,53,467,UDP Flood
1743660662.661764,192.168.116.116,192.168.1.1,TCP,24929,80,1358,TCP-ACK Flood
1743660662.6617672,192.168.245.154,192.168.1.1,UDP,58739,53,1187,UDP Flood
1743660662.6617706,192.168.12.228,192.168.1.1,UDP,42729,53,411,UDP Flood
1743660662.6617737,192.168.124.139,192.168.1.1,UDP,39903,53,1343,UDP Flood
1743660662.6617768,192.168.171.174,192.168.1.1,UDP,42767,53,1444,UDP Flood
1743660662.66178,192.168.243.173,192.168.1.1,UDP,33828,53,551,UDP Flood
1743660662.6617842,192.168.53.96,192.168.1.1,TCP,56407,80,1032,TCP-SYN Flood
1743660662.6617885,192.168.85.12,192.168.1.1,TCP,44368,80,114,TCP-SYN Flood
1743660662.6617956,192.168.23.105,192.168.1.1,TCP,10967,80,462,TCP-FIN Flood
1743660662.6617997,192.168.96.185,192.168.1.1,TCP,49813,80,1043,TCP-ACK Flood
1743660662.6618052,192.168.240.101,192.168.1.1,UDP,29374,53,851,UDP Flood
1743660662.6618114,192.168.197.133,192.168.1.1,TCP,8655,80,401,TCP-SYN Flood
1743660662.6618166,192.168.186.188,192.168.1.1,UDP,57540,53,1303,UDP Flood
1743660662.6618233,192.168.19.221,192.168.1.1,TCP,35649,80,1228,TCP-RST Flood
1743660662.6618283,192.168.135.80,192.168.1.1,UDP,24509,53,1267,UDP Flood
1743660662.6618338,192.168.252.118,192.168.1.1,UDP,4871,53,807,UDP Flood
1743660662.661839,192.168.31.73,192.168.1.1,UDP,34144,53,897,UDP Flood
1743660662.6618423,192.168.116.164,192.168.1.1,UDP,58663,53,195,UDP Flood
1743660662.6618462,192.168.243.99,192.168.1.1,TCP,22538,80,582,TCP-ACK Flood
1743660662.6618512,192.168.33.221,192.168.1.1,TCP,25563,80,214,TCP-ACK Flood
1743660662.6618545,192.168.87.119,192.168.1.1,UDP,19386,53,1083,UDP Flood
1743660662.6618588,192.168.169.143,192.168.1.1,TCP,15333,80,389,TCP-SYN Flood
1743660662.6618624,192.168.29.79,192.168.1.1,TCP,38266,80,208,TCP-FIN Flood
1743660662.6618674,192.168.246.218,192.168.1.1,UDP,59756,53,1315,UDP Flood
1743660662.6618726,192.168.225.186,192.168.1.1,UDP,29341,53,116,UDP Flood
1743660662.6618783,192.168.110.7,192.168.1.1,TCP,28683,80,171,TCP-ACK Flood
1743660662.6618834,192.168.95.28,192.168.1.1,UDP,37934,53,551,UDP Flood
1743660662.6618958,192.168.175.29,192.168.1.1,TCP,9445,80,1390,TCP-FIN Flood
1743660662.6619017,192.168.96.121,192.168.1.1,TCP,23567,80,1366,TCP-RST Flood
1743660662.6619072,192.168.41.183,192.168.1.1,UDP,2407,53,565,UDP Flood
1743660662.661913,192.168.221.25,192.168.1.1,TCP,2901,80,969,TCP-SYN Flood
1743660662.6619189,192.168.69.165,192.168.1.1,TCP,18537,80,460,TCP-ACK Flood
1743660662.661924,192.168.13.120,192.168.1.1,UDP,46681,53,470,UDP Flood
1743660662.66193,192.168.111.193,192.168.1.1,TCP,7027,80,627,TCP-SYN Flood
1743660662.661941,192.168.228.83,192.168.1.1,TCP,25682,80,1036,TCP-RST Flood
1743660662.6619475,192.168.220.177,192.168.1.1,TCP,46878,80,1247,TCP-RST Flood
1743660662.6619515,192.168.14.196,192.168.1.1,UDP,55273,53,992,UDP Flood
1743660662.6619546,192.168.188.183,192.168.1.1,UDP,12755,53,1488,UDP Flood
1743660662.661959,192.168.165.52,192.168.1.1,UDP,30742,53,526,UDP Flood
1743660662.6619632,192.168.12.160,192.168.1.1,TCP,14005,80,444,TCP-FIN Flood
1743660662.661969,192.168.65.85,192.168.1.1,UDP,19401,53,1337,UDP Flood
1743660662.661974,192.168.214.199,192.168.1.1,UDP,54817,53,610,UDP Flood
1743660662.6619802,192.168.218.66,192.168.1.1,TCP,35489,80,908,TCP-SYN Flood
1743660662.6619856,192.168.250.108,192.168.1.1,UDP,58078,53,1421,UDP Flood
1743660662.6619906,192.168.58.199,192.168.1.1,UDP,7161,53,204,UDP Flood
1743660662.6619983,192.168.160.103,192.168.1.1,UDP,35960,53,923,UDP Flood
1743660662.662002,192.168.6.155,192.168.1.1,TCP,41718,80,850,TCP-RST Flood
1743660662.6620054,192.168.31.83,192.168.1.1,UDP,37371,53,1169,UDP Flood
1743660662.6620092,192.168.95.225,192.168.1.1,TCP,17531,80,109,TCP-SYN Flood
1743660662.6620135,192.168.157.92,192.168.1.1,TCP,63114,80,1346,TCP-FIN Flood
1743660662.6620188,192.168.120.90,192.168.1.1,UDP,9923,53,1192,UDP Flood
1743660662.6620247,192.168.156.219,192.168.1.1,UDP,8851,53,582,UDP Flood
1743660662.6620343,192.168.73.189,192.168.1.1,UDP,25043,53,1047,UDP Flood
1743660662.6620395,192.168.242.156,192.168.1.1,UDP,35022,53,775,UDP Flood
1743660662.6620462,192.168.31.231,192.168.1.1,TCP,19658,80,972,TCP-FIN Flood
1743660662.662051,192.168.239.206,192.168.1.1,UDP,27805,53,204,UDP Flood
1743660662.662055,192.168.113.230,192.168.1.1,TCP,50512,80,589,TCP-SYN Flood
1743660662.6620588,192.168.110.100,192.168.1.1,TCP,48348,80,757,TCP-FIN Flood
1743660662.6620624,192.168.227.249,192.168.1.1,TCP,24725,80,388,TCP-RST Flood
1743660662.6620662,192.168.96.195,192.168.1.1,TCP,58477,80,881,TCP-RST Flood
1743660662.6620731,192.168.90.37,192.168.1.1,UDP,29222,53,1479,UDP Flood
1743660662.6620798,192.168.231.11,192.168.1.1,TCP,17661,80,1400,TCP-SYN Flood
1743660662.6620858,192.168.112.156,192.168.1.1,TCP,51038,80,1347,TCP-FIN Flood
1743660662.662096,192.168.254.98,192.168.1.1,TCP,49884,80,736,TCP-RST Flood
1743660662.662104,192.168.177.204,192.168.1.1,UDP,10021,53,126,UDP Flood
1743660662.662109,192.168.197.36,192.168.1.1,UDP,5657,53,1303,UDP Flood
1743660662.6621127,192.168.159.79,192.168.1.1,UDP,10810,53,824,UDP Flood
1743660662.6621177,192.168.235.37,192.168.1.1,TCP,29679,80,220,TCP-RST Flood
1743660662.6621249,192.168.54.79,192.168.1.1,TCP,5377,80,247,TCP-FIN Flood
1743660662.66213,192.168.157.198,192.168.1.1,UDP,26286,53,860,UDP Flood
1743660662.6621358,192.168.138.44,192.168.1.1,TCP,46375,80,772,TCP-FIN Flood
1743660662.6621413,192.168.220.105,192.168.1.1,TCP,53575,80,265,TCP-FIN Flood
1743660662.6621478,192.168.115.86,192.168.1.1,TCP,41575,80,476,TCP-FIN Flood
1743660662.6621532,192.168.44.41,192.168.1.1,TCP,4571,80,1318,TCP-ACK Flood
1743660662.6621592,192.168.67.99,192.168.1.1,TCP,4223,80,156,TCP-RST Flood
1743660662.6621652,192.168.196.18,192.168.1.1,TCP,59947,80,460,TCP-ACK Flood
1743660662.6621711,192.168.32.146,192.168.1.1,UDP,49582,53,1055,UDP Flood
1743660662.6621752,192.168.210.204,192.168.1.1,UDP,40528,53,221,UDP Flood
1743660662.662179,192.168.43.58,192.168.1.1,TCP,55548,80,1371,TCP-SYN Flood
1743660662.6621826,192.168.98.15,192.168.1.1,TCP,10519,80,498,TCP-FIN Flood
1743660662.662187,192.168.186.128,192.168.1.1,TCP,1137,80,1385,TCP-ACK Flood
1743660662.6621952,192.168.25.137,192.168.1.1,TCP,11289,80,1029,TCP-FIN Flood
1743660662.6621985,192.168.200.74,192.168.1.1,UDP,37077,53,1308,UDP Flood
1743660662.6622024,192.168.172.20,192.168.1.1,TCP,11682,80,884,TCP-ACK Flood
1743660662.662212,192.168.79.168,192.168.1.1,UDP,17778,53,673,UDP Flood
1743660662.662218,192.168.163.105,192.168.1.1,TCP,47385,80,433,TCP-ACK Flood
1743660662.6622233,192.168.248.56,192.168.1.1,TCP,36241,80,874,TCP-SYN Flood
1743660662.6622288,192.168.185.167,192.168.1.1,UDP,24089,53,1378,UDP Flood
1743660662.6622367,192.168.131.71,192.168.1.1,TCP,50010,80,372,TCP-RST Flood
1743660662.6622412,192.168.220.6,192.168.1.1,TCP,11033,80,1256,TCP-RST Flood
1743660662.6622448,192.168.183.126,192.168.1.1,UDP,52244,53,450,UDP Flood
1743660662.6622481,192.168.210.109,192.168.1.1,UDP,31776,53,573,UDP Flood
1743660662.6622512,192.168.159.16,192.168.1.1,UDP,33882,53,70,UDP Flood
1743660662.6622546,192.168.78.142,192.168.1.1,UDP,14860,53,1491,UDP Flood
1743660662.6622598,192.168.60.217,192.168.1.1,UDP,44225,53,886,UDP Flood
1743660662.662265,192.168.39.24,192.168.1.1,UDP,10629,53,1325,UDP Flood
1743660662.6622713,192.168.104.169,192.168.1.1,TCP,21361,80,1467,TCP-SYN Flood
1743660662.6622844,192.168.213.19,192.168.1.1,UDP,6110,53,502,UDP Flood
1743660662.662288,192.168.138.106,192.168.1.1,UDP,28548,53,1407,UDP Flood
1743660662.662292,192.168.125.119,192.168.1.1,TCP,8208,80,903,TCP-ACK Flood
1743660662.662299,192.168.19.187,192.168.1.1,UDP,54776,53,1467,UDP Flood
1743660662.6623027,192.168.199.76,192.168.1.1,TCP,37905,80,1212,TCP-ACK Flood
1743660662.6623065,192.168.191.37,192.168.1.1,TCP,10320,80,817,TCP-SYN Flood
1743660662.6623106,192.168.57.226,192.168.1.1,TCP,57028,80,807,TCP-RST Flood
1743660662.6623142,192.168.82.202,192.168.1.1,TCP,34806,80,926,TCP-ACK Flood
1743660662.6623178,192.168.16.206,192.168.1.1,UDP,24943,53,1252,UDP Flood
1743660662.662324,192.168.96.49,192.168.1.1,TCP,3002,80,1437,TCP-FIN Flood
1743660662.6623297,192.168.20.66,192.168.1.1,UDP,23205,53,1194,UDP Flood
1743660662.6623356,192.168.113.147,192.168.1.1,TCP,11346,80,763,TCP-RST Flood
1743660662.6623409,192.168.142.243,192.168.1.1,UDP,48890,53,88,UDP Flood
1743660662.662352,192.168.222.40,192.168.1.1,UDP,19941,53,843,UDP Flood
1743660662.6623554,192.168.52.110,192.168.1.1,UDP,38300,53,1054,UDP Flood
1743660662.6623588,192.168.59.89,192.168.1.1,UDP,44712,53,972,UDP Flood
1743660662.6623626,192.168.6.29,192.168.1.1,TCP,61051,80,374,TCP-SYN Flood
1743660662.6623662,192.168.60.188,192.168.1.1,UDP,45973,53,1398,UDP Flood
1743660662.6623704,192.168.35.182,192.168.1.1,UDP,31506,53,1452,UDP Flood
1743660662.6623745,192.168.255.90,192.168.1.1,TCP,23013,80,408,TCP-FIN Flood
1743660662.6623774,192.168.177.242,192.168.1.1,UDP,25295,53,372,UDP Flood
1743660662.662385,192.168.161.159,192.168.1.1,TCP,49015,80,228,TCP-SYN Flood
1743660662.6623883,192.168.182.159,192.168.1.1,UDP,45926,53,570,UDP Flood
1743660662.662392,192.168.9.192,192.168.1.1,TCP,44050,80,81,TCP-RST Flood
1743660662.6623952,192.168.126.201,192.168.1.1,UDP,57049,53,1212,UDP Flood
1743660662.6623986,192.168.240.186,192.168.1.1,UDP,52195,53,203,UDP Flood
1743660662.6624017,192.168.95.89,192.168.1.1,UDP,34994,53,1282,UDP Flood
1743660662.662406,192.168.238.243,192.168.1.1,UDP,12355,53,351,UDP Flood
1743660662.6624098,192.168.85.164,192.168.1.1,TCP,4395,80,849,TCP-RST Flood
1743660662.6624136,192.168.152.192,192.168.1.1,TCP,1312,80,294,TCP-SYN Flood
1743660662.6624174,192.168.186.21,192.168.1.1,TCP,54589,80,679,TCP-RST Flood
1743660662.6624207,192.168.137.129,192.168.1.1,UDP,41207,53,946,UDP Flood
1743660662.6624243,192.168.225.36,192.168.1.1,UDP,8531,53,663,UDP Flood
1743660662.6624281,192.168.213.231,192.168.1.1,TCP,34647,80,269,TCP-FIN Flood
1743660662.6624327,192.168.220.175,192.168.1.1,TCP,36161,80,307,TCP-ACK Flood
1743660662.6624367,192.168.67.195,192.168.1.1,TCP,64274,80,1107,TCP-FIN Flood
1743660662.6624405,192.168.252.222,192.168.1.1,TCP,35683,80,796,TCP-ACK Flood
1743660662.6624439,192.168.170.27,192.168.1.1,UDP,50846,53,878,UDP Flood
1743660662.6624494,192.168.115.163,192.168.1.1,TCP,42116,80,392,TCP-RST Flood
1743660662.6624632,192.168.43.159,192.168.1.1,UDP,55481,53,484,UDP Flood
1743660662.6624682,192.168.208.83,192.168.1.1,UDP,64822,53,754,UDP Flood
1743660662.6624742,192.168.231.183,192.168.1.1,TCP,54406,80,1496,TCP-SYN Flood
1743660662.6624777,192.168.165.195,192.168.1.1,UDP,58631,53,789,UDP Flood
1743660662.662485,192.168.16.31,192.168.1.1,TCP,24794,80,857,TCP-ACK Flood
1743660662.66249,192.168.241.37,192.168.1.1,TCP,51011,80,440,TCP-FIN Flood
1743660662.6624937,192.168.141.141,192.168.1.1,TCP,9940,80,283,TCP-ACK Flood
1743660662.662497,192.168.207.155,192.168.1.1,UDP,20490,53,603,UDP Flood
1743660662.6625009,192.168.31.178,192.168.1.1,TCP,20237,80,958,TCP-FIN Flood
1743660662.6625047,192.168.112.246,192.168.1.1,TCP,41037,80,1185,TCP-FIN Flood
1743660662.662508,192.168.43.80,192.168.1.1,UDP,26522,53,281,UDP Flood
1743660662.6625113,192.168.84.116,192.168.1.1,UDP,11641,53,69,UDP Flood
1743660662.6625154,192.168.122.68,192.168.1.1,TCP,35449,80,730,TCP-SYN Flood
1743660662.6625202,192.168.231.82,192.168.1.1,UDP,3055,53,1302,UDP Flood
1743660662.6625235,192.168.247.88,192.168.1.1,UDP,56320,53,677,UDP Flood
1743660662.662528,192.168.49.127,192.168.1.1,TCP,63540,80,203,TCP-ACK Flood
1743660662.6625345,192.168.13.226,192.168.1.1,TCP,6004,80,443,TCP-FIN Flood
1743660662.6625404,192.168.138.6,192.168.1.1,TCP,36828,80,1413,TCP-FIN Flood
1743660662.662546,192.168.101.132,192.168.1.1,UDP,11312,53,985,UDP Flood
1743660662.6625576,192.168.120.210,192.168.1.1,TCP,48396,80,1327,TCP-RST Flood
1743660662.6625626,192.168.131.94,192.168.1.1,UDP,23206,53,341,UDP Flood
1743660662.6625662,192.168.40.232,192.168.1.1,TCP,64530,80,435,TCP-SYN Flood
1743660662.6625698,192.168.133.171,192.168.1.1,UDP,60417,53,1134,UDP Flood
1743660662.662573,192.168.132.16,192.168.1.1,UDP,32759,53,1241,UDP Flood
1743660662.6625772,192.168.58.243,192.168.1.1,TCP,55357,80,546,TCP-FIN Flood
1743660662.6625817,192.168.8.76,192.168.1.1,TCP,53887,80,430,TCP-FIN Flood
1743660662.6625884,192.168.240.62,192.168.1.1,UDP,27140,53,946,UDP Flood
1743660662.662592,192.168.8.130,192.168.1.1,TCP,12960,80,443,TCP-RST Flood
1743660662.6625953,192.168.254.140,192.168.1.1,UDP,46587,53,1208,UDP Flood
1743660662.6626,192.168.75.197,192.168.1.1,TCP,5855,80,833,TCP-FIN Flood
1743660662.6626048,192.168.180.181,192.168.1.1,TCP,24186,80,1166,TCP-FIN Flood
1743660662.6626086,192.168.180.27,192.168.1.1,TCP,57673,80,442,TCP-RST Flood
1743660662.6626122,192.168.117.134,192.168.1.1,TCP,14544,80,1200,TCP-RST Flood
1743660662.6626155,192.168.186.33,192.168.1.1,UDP,45944,53,77,UDP Flood
1743660662.6626189,192.168.18.201,192.168.1.1,UDP,38073,53,307,UDP Flood
1743660662.6626227,192.168.206.95,192.168.1.1,TCP,19993,80,1367,TCP-SYN Flood
1743660662.6626263,192.168.85.157,192.168.1.1,TCP,13860,80,250,TCP-FIN Flood
1743660662.6626327,192.168.143.111,192.168.1.1,UDP,30855,53,516,UDP Flood
1743660662.6626365,192.168.5.13,192.168.1.1,TCP,13091,80,1457,TCP-RST Flood
1743660662.6626406,192.168.32.224,192.168.1.1,TCP,20560,80,597,TCP-ACK Flood
